total_transactions,unique_counterparties,incoming_count,outgoing_count,incoming_outgoing_ratio,total_volume,degree_centrality,label
1,1,0,1,0.0,0.0,1.0,0
184,184,0,184,0.0,0.0,1.0,0
1,1,0,1,0.0,0.0,1.0,0
33,30,7,26,0.25925925925925924,0.016102711378379285,1.1,0
4,4,0,4,0.0,1.1471271051764e-05,1.0,0
2,2,0,2,0.0,5e-08,1.0,0
135,133,9,126,0.07086614173228346,2.2323441381366846,1.0150375939849623,0
1,1,0,1,0.0,2.69223563e-10,1.0,0
6,5,4,2,1.3333333333333333,0.024507974706040332,1.2000000000000002,0
155,154,148,7,18.5,12.514473296435273,1.0064935064935066,0
3,3,0,3,0.0,1.7e-08,1.0,0
2,2,0,2,0.0,0.0,1.0,0
2,2,1,1,0.5,6.8148912e-06,1.0,0
238,238,181,57,3.1206896551724137,36.3747657865616,1.0,0
24,23,20,4,4.0,2.140057646735678,1.0434782608695652,0
402,402,402,0,402.0,64.59453449016145,1.0,1
78,78,36,42,0.8372093023255814,74.59429578944538,1.0,1
2,2,0,2,0.0,2e-09,1.0,0
49,48,4,45,0.08695652173913043,0.10822192554018349,1.0208333333333333,0
164,164,77,87,0.875,55.603247215941465,1.0,1
2,2,1,1,0.5,0.001956387913179826,1.0,0
15,14,2,13,0.14285714285714285,0.40498958089462445,1.153846153846154,0
3,3,2,1,1.0,8.0969918238874e-05,1.0,0
12,12,6,6,0.8571428571428571,1.890968001843718,1.0,0
2,2,0,2,0.0,1.1000000000000001e-09,1.0,0
14,14,14,0,14.0,0.0,1.0,0
1,1,0,1,0.0,0.0,1.0,0
331,331,1,330,0.0030211480362537764,127.74176967446446,1.0,1
6,6,5,1,2.5,17.281284662598555,1.0,0
104,104,25,79,0.3125,34512.08165140727,1.0,1
1,1,0,1,0.0,0.0,1.0,0
9,9,6,3,1.5,0.7533054723151611,1.0,0
